Star,TIC,Sectors,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 69830,307624961,7,,,,,,,0.674,0.014,"A. Tanner, et al., The Astrophysical Journal, 800, 115 (2015).",CLASSIC
HD 117176,95473936,23,,,,,,,0.998,0.005,"S. R. Kane, et al., The Astrophysical Journal, 806, 60 (2015).",CLASSIC
HD 118022,365159284,23,,,,,,,0.34600000000000003,0.006,"K. Perraut, et al., Astronomy and Astrophysics, 579, 85 (2015).",VEGA
HD 24712,279485093,"5, 31, 31",,,,,,,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA
HD 2774,202715253,17,,,,,,,1.3030000000000002,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 6497,252183048,"17, 18",,,,,,,0.731,0.044,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 13982,264552400,18,,,,,,,1.169,0.032,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 31579,453086511,19,,,,,,,1.5930000000000002,0.008,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 153956,224598071,"15, 16, 17, 19, 20, 22, 23, 24, 25, 26",,,,,,,0.983,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 157681,188694034,"17, 20, 23, 24, 26",,,,,,,1.908,0.013,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 184293,26665833,"14, 15",,,,,,,1.548,0.022,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 216174,444179899,"16, 17, 24",,,,,,,1.598,0.012,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 218029,427550855,"17, 18, 24",,,,,,,1.862,0.044,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC
HD 122563,457862177,23,,,,,,,0.926,0.011,"I. Karovicova, et al., Monthly Notices of the Royal Astronomical Society, 475, 81 (2018).",PAVO
HD 103095,309599261,22,,,,,,,0.595,0.006999999999999999,"I. Karovicova, et al., Monthly Notices of the Royal Astronomical Society, 475, 81 (2018).",PAVO
GJ 159,9150015,5,,,,,,,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC
HD 89744,8154501,21,,,,,,,0.556,0.032,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC
GJ 504,397587084,23,,,,,,,0.71,0.02,"M. Bonnefoy, et al., Astronomy and Astrophysics, 618, 63 (2018).",VEGA
HD 4747,369395755,"3, 30, 30",,,,,,,0.39,0.006,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)\",PAVO
HD 19467,441501782,"4, 31, 31",,,,,,,0.376,0.014,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO
HD 113337,142350121,"14, 15, 21, 22",,,,,,,0.386,0.009000000000000001,"S. Borgniet, et al., accepted by Astronomy and Astrophysics (2019).",VEGA
